,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTooltipPlastics","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles"
"InfomodeTooltipPlastics","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipPlastics","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipPharmaceuticals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals"
"InfomodeTooltipPharmaceuticals","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@HealthcareDeathcare**"
"InfomodeTooltipPharmaceuticals","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipElectronics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMinerals @@ConjunctionAnd @@BoldPlastics"
"InfomodeTooltipElectronics","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom","@@RequiredToProduce @@BoldSoftware @@ConjunctionAnd @@BoldTelecom"
"InfomodeTooltipElectronics","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipElectronics","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipVehicles","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldPlastics"
"InfomodeTooltipVehicles","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipVehicles","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipBeverages","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldVegetables"
"InfomodeTooltipBeverages","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment","@@RequiredFor @@BoldEntertainment"
"InfomodeTooltipBeverages","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipBeverages","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipConvenienceFood","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldLivestock"
"InfomodeTooltipConvenienceFood","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipConvenienceFood","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipFood","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables","@@ProducedFrom @@BoldLivestock @@ConjunctionAnd @@BoldVegetables"
"InfomodeTooltipFood","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals","@@RequiredFor @@BoldLodging @@ConjunctionAnd @@BoldMeals"
"InfomodeTooltipFood","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@FireRescue**"
"InfomodeTooltipFood","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipTextiles","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**","@@ProducedFrom @@BoldLivestock, @@BoldCotton, @@BoldPetrochemicals, @@ConjunctionOr **@@RecyclingCenter**"
"InfomodeTooltipTextiles","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipTextiles","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipTimber","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood","@@ProducedFrom @@BoldWood"
"InfomodeTooltipTimber","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture","@@RequiredToProduce @@BoldPaper @@ConjunctionAnd @@BoldFurniture"
"InfomodeTooltipTimber","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**"
"InfomodeTooltipTimber","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipPaper","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldTimber @@ConjunctionAnd **@@RecyclingCenter**"
"InfomodeTooltipPaper","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**"
"InfomodeTooltipPaper","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipFurniture","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber","@@ProducedFrom @@BoldTimber"
"InfomodeTooltipFurniture","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers** @@ConjunctionAnd **@@Offices**"
"InfomodeTooltipFurniture","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
,,,,,,,,,,,,
"InfomodeTooltipSoftware","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics","@@ProducedFrom @@BoldElectronics"
"InfomodeTooltipSoftware","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia","@@RequiredToProduce @@BoldTelecom, @@BoldFinancial, @@ConjunctionAnd, @@BoldMedia"
"InfomodeTooltipSoftware","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Industry** @@ConjunctionAnd **@@Offices**"
"InfomodeTooltipSoftware","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipTelecom","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware","@@ProducedFrom @@BoldElectronics @@ConjunctionAnd @@BoldSoftware"
"InfomodeTooltipTelecom","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**"
"InfomodeTooltipTelecom","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipFinancial","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware"
